メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
じゃがいものみそシチュー,0257,材料：4人分,約388kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4257.jpg,"豚もも薄切り肉(3cm幅に切る): 300ｇ
じゃがいも(4～6つ切り): 3個(450ｇ)
薄力粉: 60ｇ
玉ねぎ(くし切り): 1個(200ｇ)
バター: 50ｇ
みそ: 大さじ3
粉チーズ: 大さじ2
酒: 大さじ1
塩: 小さじ1/2
にんにく(薄切り): 1かけ
水: 500mL
チンゲン菜(ざく切り): 200ｇ","1 まぜ技ユニットを本体にセットする。
2 大きめのビニール袋に［A］を入れ、薄力粉を加えて袋を振り、まんべんなくまぶして約5分おき、なじませる。(1枚の袋に入りきらない場合は、複数に分けてもよいでしょう)
※材料にまんべんなく薄力粉をまぶすことで、なめらかに仕上がります。薄力粉が内鍋の底にたまった状態で加熱するとダマの原因になります。
3 内鍋に玉ねぎ、2、［B］の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0257(じゃがいものみそシチュー) → 調理を開始する → スタート
4 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋にチンゲン菜を加える。
※残り時間が約5分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※予約調理のときは、予約設定時間に「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4257
じゃがいもの冷製スープ　ジュレのせ,0205,材料：4人分,,40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4205.jpg,"玉ねぎ: 1/2個(100g)
じゃがいも(2～3cmの角切り): 2個(300g)
コンソメ(顆粒): 小さじ2
水: 200mL
牛乳: 250mL
塩: 適量
水: 300mL
コンソメ(顆粒): 小さじ2
粉ゼラチン: 5g
細ねぎ(小口切り): 適量","1 まぜ技ユニットを本体にセットする。
2 玉ねぎを下記のように、横薄切りにする。

※玉ねぎを横薄切りにすることで繊維が断ち切られ、加熱されやすくなります。
3 内鍋に[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0205(じゃがいもの冷製スープ_ジュレのせ) → 調理を開始する → スタート
4 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋に牛乳を加える。
※残り時間が約６分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※予約調理のときは、予約設定時間に「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。
5 加熱後、塩で味を整え、粗熱が取れたら冷蔵室に入れて冷やす。
※少し粒が残る仕上がりになります。
6 ジュレを作る。鍋に[B]を入れて火にかけて煮立て、火を止めて粉ゼラチンを加えて溶かす。
7 6の鍋を氷水にあて、混ぜながら冷まし、容器に移して冷蔵室で冷やし固める。
8 器に盛り付けた5のスープに、フォークで細かく砕いた7のジュレを好みの量のせ、細ねぎを散らす。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4205
じゃっぱ汁,0193,材料：4人分,約304kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4193.jpg,"さけのあら: 450ｇ
大根(5mm厚さのいちょう切り): 300ｇ
にんじん(5mm厚さの半月切り): 1/2本
白ねぎ(ななめ薄切り): 1本
白菜(ざく切り): 300ｇ
だし汁: 600ｍＬ
みそ: 大さじ2
酒: 大さじ3","1 まぜ技ユニットを本体にセットする。
2 さけのあらに熱湯をかけたあと、冷水で洗い、ひと口大に切る。
3 内鍋に野菜、2を入れ、混ぜ合わせた[A]をかける。
4 3を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0193(じゃっぱ汁) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4193
ジャム(いちご),0116,,約477kcal(全量),45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4116.jpg,"いちご: 300g
砂糖: 100g
レモン汁: 小さじ2","1 まぜ技ユニットを本体にセットする。
2 いちごはへたを取り、大きい場合は小さく切る。
3 内鍋に全材料を入れて軽く混ぜ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0116(ジャム(いちご)) → 調理を開始する → スタート
※冷めると少し固くなりますが、もう少し煮詰めたいときは、[手動で作る] → [煮詰める]を使って煮詰めることができます。
※粒のないジャムにするときは、熱いうちに裏ごしします。
■2倍量で加熱する場合
2倍量は、下記の手順で加熱してください。
手動で作る → 煮物を作る → まぜない → 約10分 → スタート
加熱後、すぐにとりけしキーを押して、煮詰めるを設定する。
手動で作る → 煮詰める → 約20分 → スタート
スタート後、ふたを開けて、ヘラなどで好みの大きさに果実をつぶしながら、好みの煮詰め具合になるまで煮詰める。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4116
ジャム(オレンジ),0117,,約892kcal(全量),45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4117.jpg,"オレンジまたは夏みかん(皮と身に分ける): 2個(400g)
砂糖: 130g
レモン汁: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 皮は細切りにして約10分ゆでてアクをぬく。果肉は房から取り出す。
3 内鍋に2と残りの材料を入れて軽く混ぜ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0117(ジャム(オレンジ)) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4117
ジャム(キウイ),0118,,約645kcal(全量),45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4118.jpg,"キウイ(皮をむき1cm厚さのいちょう切り): 4個
砂糖: 130g
レモン汁: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 内鍋に全材料を入れて軽く混ぜ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0118(ジャム(キウイ)) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4118
ジャージャーそうめん,0222,,,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4222.jpg,"合びき肉: 200g
玉ねぎ(みじん切り): 1/4個(50g)
みそ: 大さじ3
酒、みりん、砂糖: 各大さじ2
しょうゆ、豆板醤: 各小さじ1
そうめん(ゆでたもの): 適量
温泉卵: 4個","1 まぜ技ユニットを本体にセットする。
2 内鍋に[A]を入れてよく混ぜ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0222(ジャージャーそうめん) → 調理を開始する → スタート
3 加熱後、ゆでたそうめんにかけ、温泉卵をのせる。
※温泉卵は、ホットクックで作ることもできます。
★このレシピは、2018年夏に実施したホットクックレシピ投稿キャンペーンにてお客様より投稿いただいたレシピです。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4222
ジャージャーめん,0748,材料：4人分,約346kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4748.jpg,"豚ひき肉: 200g
たけのこの水煮(みじん切り): 150g
しいたけ(みじん切り): 3枚
にんにく(みじん切り): 1かけ
ごま油: 大さじ1
豆板醤: 小さじ1
白ねぎ(みじん切り): 1/2本
酒: 大さじ4
甜面醤: 大さじ3
砂糖: 大さじ3
しょうゆ: 大さじ2
片栗粉: 小さじ2
鶏がらスープの素(顆粒): 小さじ1
中華めん(ゆでたもの): 4玉
きゅうり: 1/2本
白ねぎ: 1/2本
ラー油: お好みで","1 まぜ技ユニットを本体にセットする。
2 内鍋に[A]を入れてよく混ぜ、本体にセットする。
※肉はよく混ぜるとほぐれた仕上がりに、くずさないまま入れると肉っぽさが残る仕上がりになります。
メニューを選ぶ → メニュー番号で探す → No.0748(ジャージャーめん) → 調理を開始する → スタート
3 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋に混ぜあわせた[B]を入れる。
※残り時間が15分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。
4 きゅうりと白ねぎは細切りにし、白ねぎは水にさらしておく。
5 加熱後、器に盛った中華めんの上に3をかける。きゅうりと水気をきった白ねぎをトッピングし、お好みでラー油をかける。
※うどん、そうめん、ごはんなどにかけてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4748
ジューシーなハンバーグ～トマトときのこのソース～(ヘルシオデリ),,材料：2人分,約322kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000010.jpg,"ハンバーグ: 2個(240g)
ソース（しめじ入り）: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※ソース（しめじ入り）は、内鍋に入るやわらかさになるまで解凍する。（目安：流水2-3分） 全解凍の必要はありません。
※ハンバーグは冷凍のまま調理してください。
※まぜ技ユニットは不要です。
1 内鍋にハンバーグ、ソース（しめじ入り）の順に入れ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 約15分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000010
ジンディンロウ 生シュウマイ 6個入り(ヘルシオデリ),,,約68kcal(1個分),30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000156.jpg,"生シュウマイ: 6個
水: 200mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
1 内鍋に水200mLを入れ、蒸しトレイをセットし、生シュウマイを置く。
※クッキングシートは必要ありません。
手動で作る → 蒸す → 20分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000156
ジンディンロウ 本格生小籠包 12個入り(ヘルシオデリ),,,約53kcal(1個分),20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000127.jpg,"小籠包: 6個
水: 200mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
1 内鍋に水200mLを入れ、蒸しトレイをセットし、その上にクッキングシート敷き、小籠包6個を置く。
※クッキングシートは、正方形にカットし数カ所に切り込みを入れて穴を開けてください。また、内鍋からはみ出さないように敷いてください。
（画像参照：蒸しトレイの穴からの蒸気の対流を妨げない処置です）

手動で作る → 蒸す → 10分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000127
